	title	relation	batch	covariate	array_strip_address	array_hyb_address
GSM996742	N5.1	GSM1516818	4634633043	N	4634633043_C_2	4634633043_C
GSM996743	N5.2	GSM1516904	4763646012	N	4763646012_E_1	4763646012_E
GSM996744	N5.3	GSM1516916	4763646026	N	4763646026_E_2	4763646026_E
GSM996745	Shira.1	GSM1516958	5216898008	Shira	5216898008_B_1	5216898008_B
GSM996746	Shira.2	GSM1516982	5216898024	Shira	5216898024_B_2	5216898024_B
GSM996747	Edan.1	GSM1516976	5216898012	Edan	5216898012_E_2	5216898012_E
GSM996748	Edan.2	GSM1516988	5216898024	Edan	5216898024_E_1	5216898024_E
GSM996749	TV5010.1	GSM1516962	5216898008	TV.5010	5216898008_D_2	5216898008_D
GSM996750	TV5010.2	GSM1516986	5216898024	TV.5010	5216898024_D_1	5216898024_D
GSM996751	TV109	GSM1516870	4682416087	TV.Marker	4682416087_F_2	4682416087_F
GSM996752	DM958	GSM1516796	4634633043	GA.DM	4634633043_E_2	4634633043_E
GSM996753	DM961	GSM1516858	4682416087	GA.DM	4682416087_A_1	4682416087_A
GSM996754	DM962.1	GSM1516798	4634633053	GA.DM	4634633053_E_2	4634633053_E
GSM996755	DM962.2	GSM1516938	4763128060	GA.DM	4763128060_D_1	4763128060_D
GSM996756	DM962.3	GSM1516926	4763128059	GA.DM	4763128059_D_2	4763128059_D
GSM996757	Appo2.1	GSM1516950	5216898004	Appotex.2	5216898004_D_1	5216898004_D
GSM996758	Appo1.1	GSM1516970	5216898012	Appotex.1	5216898012_B_2	5216898012_B
GSM996759	Appo2.2	GSM1516974	5216898012	Appotex.2	5216898012_D_2	5216898012_D
GSM996760	GA_Acid	GSM1516820	4634633043	GA.FD	4634633043_D_1	4634633043_D
GSM996761	GA_Base	GSM1516852	4682416043	GA.FD	4682416043_D_2	4682416043_D
GSM996762	GA_Heat	GSM1516850	4682416043	GA.FD	4682416043_C_1	4682416043_C
